"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cuba","CUB","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","33.9759746792052","38.4424875370519","37.0944876020832","26.1456335334555","17.9883227196113","14.0631648281555","15.2932964287049","23.5454098486307","20.7442459384642","37.6503040531257","29.3459387389159","35.6529822345074","53.666869721095","43.9536312864198","39.8007910479762","45.8375170027683","41.4319184107688","39.893966831938","35.686877212651","26.7892178770043","30.7432111332597","31.209186573364","16.750517675327","11.3434477967901","9.0437989260999","13.3870350400669","12.4405996663075","11.5614414935682","10.2072212993698","12.9165606292651","8.60760498178246","9.5172864192063","9.32771682519543","20.6109840892461","17.4864664129432","16.0392448662764","17.5041439425141","12.5562205774193","15.1920236961947","",
"Cuba","CUB","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","0.228409130406717","0.247409855038926","0.513226768727017","0.203734890679191","0.139579616914725","0.297348242814665","0.429359901722334","0.0271138848387475","0.246502132012679","0.220640839136643","0.666920530659836","1.71433181441327","0.699629152856984","0.350045419509896","0.86481538736291","0.601940512820362","0.441515177425264","0.948010230242186","0.981891416514529","0.379324049504192","0.378878863960205","0.224660584841006","2.05841318712285","1.21626471614986","1.93608109620273","0.171475980048589","0.153663715202761","0.162669518913628","0.1678210555103","0.163049389111817","0.159269191343501","0.130664562926644","0.176379530489352","0.184190740988623","0.0980389199516017","0.137342937313921","0.248879115604234","0.268043137910321","0.213445705120143","",
"Cuba","CUB","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.73","61.78","61.78","61.78","61.78","61.78","61.73","60.76","60.76","60.76","60.76","60.76","60.76","59.45","59.45","59.45","59.45","59.45","","57.81","57.81","57.81","","58.34","58.34",
"Cuba","CUB","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.82","27.82","27.82","27.82","27.82","27.82","27.82","26.38","26.38","26.38","26.38","26.38","26.38","24.12","24.12","24.12","24.12","24.12","","23.54","23.54","23.54","","23.55","23.55",
"Cuba","CUB","Urban population growth (annual %)","SP.URB.GROW","","2.39786669062421","2.52238729316186","2.56973049578924","2.52161771203152","2.40967045058466","2.27046636074499","2.15417361951161","2.07577048662182","2.05198878929365","2.05745600057085","2.94086712531402","3.10007402486104","2.99460348908686","2.82041582101663","2.59245554421453","2.36286082048199","2.15646256555584","1.97825353503191","1.8301055540168","1.7189804240727","1.59148519476999","1.22907835381633","1.14496146681067","1.22702690686778","1.36571775524024","1.54610242763681","1.68894177592872","1.74693162128002","1.67928814617489","1.53260469595865","1.14413348805181","0.791875797484143","0.694711562797751","0.657064577705347","0.660429521997287","0.668060312003634","0.717724773251838","0.76176891482808","0.727671969236084","0.687090432180501","0.650742798403016","0.616837984326652","0.476778673409695","0.312168017685942","0.221883844752437","0.119011539981145","0.0319842378440393","-0.00398291260668401","0.0289365583991883","0.112359784648444","0.216543565071862","0.301634921415634","0.287138804569175","0.258382357246299","0.203438171782601","0.135388237613795","0.0976461556100644","0.0681433528823591","0.0522842793269376","0.0495578357624637",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Population ages 65 and above, female (% of female population)","SP.POP.65UP.FE.ZS","4.31100998883131","4.37928592824313","4.42096283896226","4.45901010992682","4.52640930830733","4.63942641103081","4.76034045244483","4.93626905162671","5.14634723223787","5.3574998664802","5.5546935752939","5.78940958330156","5.99484820352167","6.18566916808861","6.38943469492111","6.61999992745439","6.84739148095953","7.10470388922119","7.37923425467528","7.64279830516909","7.88042479021571","8.12527763723125","8.32620632958768","8.49911711115392","8.67078736987542","8.85329509118102","8.94408774672175","9.04456080837665","9.15173776379051","9.26059501036567","9.37328616467829","9.46551349419741","9.57705938586521","9.69596824550631","9.80661455117023","9.90257511431668","10.0294289016056","10.1235338357896","10.207702928143","10.3139607532408","10.4596344539886","10.6226565266531","10.8237254783634","11.0579964675862","11.3130322399521","11.5847206212198","11.9283287142859","12.2829864185446","12.6462312809872","13.0165246032312","13.3936051710188","13.7151036215179","14.0233799550971","14.3363759806215","14.6797784083536","15.0696319325852","15.4549796622164","15.8984483638169","16.3669663552961","16.8071788270942","17.1949421617675",
"Cuba","CUB","Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","6.58717150343709","6.56004190844617","6.47530461333604","6.37038496692665","6.29319680264331","6.26181203207071","6.22559810700466","6.24798094416594","6.30772476125199","6.36958812732848","6.41759896817775","6.51851858472492","6.59459362085222","6.64799436243647","6.68802980792543","6.7176232957556","6.70872846350119","6.69529474875534","6.68544045517892","6.68785077985353","6.70977422423452","6.78827891833228","6.8868016373404","6.97897324144839","7.02202947139012","6.99199587598055","6.88543321721482","6.69553899268453","6.5214043022928","6.51535338378166","6.76191256784268","7.23728025933364","7.96560517373182","8.80106923757585","9.51673114626214","9.97433840011792","10.2443700438725","10.2457477179034","10.0755600764766","9.89552379715636","9.7961853206848","9.73347721352821","9.75205678840943","9.77094127891417","9.65668522944265","9.33933583516755","8.8047877846837","8.06485718695825","7.2283628012004","6.48197823486249","5.95825144198618","5.70854832561061","5.68420951063451","5.84142998691067","6.0875055229905","6.35202345519968","6.63685450635928","6.95242426889186","7.24794515828754","7.4536134790637","7.5279347192871",
